CVE_ENT,NOM_ENT,NOM_ABR,NOM_CAP
01,Aguascalientes,Ags.,Aguascalientes
02,"Baja California",BC,Mexicali
03,"Baja California Sur",BCS,"La Paz"
04,Campeche,Camp.,"San Francisco de Campeche"
05,"Coahuila",Coah.,Saltillo
06,Colima,Col.,Colima
07,Chiapas,Chis.,"Tuxtla Gutiérrez"
08,Chihuahua,Chih.,Chihuahua
09,"Distrito Federal",DF,
10,Durango,Dgo.,"Victoria de Durango"
11,Guanajuato,Gto.,Guanajuato
12,Guerrero,Gro.,"Chilpancingo de los Bravo"
13,Hidalgo,Hgo.,"Pachuca de Soto"
14,Jalisco,Jal.,Guadalajara
15,Mexico,Mex.,"Toluca de Lerdo"
16,"Michoacan",Mich.,Morelia
17,Morelos,Mor.,Cuernavaca
18,Nayarit,Nay.,Tepic
19,"Nuevo Leon",NL,"Ciudad Monterrey"
20,Oaxaca,Oax.,"Oaxaca de Juárez"
21,Puebla,Pue.,"Heróica Puebla de Zaragoza"
22,Queretaro,Qro.,"Santiago de Querétaro"
23,"Quintana Roo","Q. Roo",Chetumal
24,"San Luis Potosi",SLP,"San Luis Potosí"
25,Sinaloa,Sin.,"Culiacán Rosales"
26,Sonora,Son.,Hermosillo
27,Tabasco,Tab.,Villahermosa
28,Tamaulipas,Tamps.,"Ciudad Victoria"
29,Tlaxcala,Tlax.,"Tlaxcala de Xicohténcatl"
30,"Veracruz",Ver.,Xalapa-Enríquez
31,Yucatan,Yuc.,Mérida
32,Zacatecas,Zac.,Zacatecas
